model,method,layer,subspace_dimension,seed,epochs,learning_rate,batch_size,epoch,train_loss,evaluation_loss
gpt2-small,das3d,0,3,0,64,0.001,128,4,0.8106852173805237,0.7241579294204712
gpt2-small,das3d,0,3,0,64,0.001,128,5,0.7241579294204712,0.6533101201057434
gpt2-small,das3d,0,3,0,64,0.001,128,6,0.6533101201057434,0.5842044353485107
gpt2-small,das3d,0,3,0,64,0.001,128,7,0.5842044353485107,0.5418118238449097
gpt2-small,das3d,0,3,0,64,0.001,128,8,0.5418118238449097,0.5174216032028198
gpt2-small,das3d,0,3,0,64,0.001,128,9,0.5174216032028198,0.4883855879306793
gpt2-small,das3d,0,3,0,64,0.001,128,10,0.4883855879306793,0.46051105856895447
gpt2-small,das3d,0,3,0,64,0.001,128,11,0.46051105856895447,0.4320557713508606
gpt2-small,das3d,0,3,0,64,0.001,128,12,0.4320557713508606,0.39895468950271606
gpt2-small,das3d,0,3,0,64,0.001,128,13,0.39895468950271606,0.36295008659362793
gpt2-small,das3d,0,3,0,64,0.001,128,14,0.36295008659362793,0.3397212624549866
gpt2-small,das3d,0,3,0,64,0.001,128,15,0.3397212624549866,0.3008130192756653
gpt2-small,das3d,0,3,0,64,0.001,128,16,0.3008130192756653,0.27642276883125305
gpt2-small,das3d,0,3,0,64,0.001,128,17,0.27642276883125305,0.24738678336143494
gpt2-small,das3d,0,3,0,64,0.001,128,18,0.24738678336143494,0.23461094498634338
gpt2-small,das3d,0,3,0,64,0.001,128,19,0.23461094498634338,0.21486642956733704
gpt2-small,das3d,0,3,0,64,0.001,128,20,0.21486642956733704,0.1922183632850647
gpt2-small,das3d,0,3,0,64,0.001,128,21,0.1922183632850647,0.17944251000881195
gpt2-small,das3d,0,3,0,64,0.001,128,22,0.17944251000881195,0.16782809793949127
gpt2-small,das3d,0,3,0,64,0.001,128,23,0.16782809793949127,0.15795587003231049
gpt2-small,das3d,0,3,0,64,0.001,128,24,0.15795587003231049,0.14401863515377045
gpt2-small,das3d,0,3,0,64,0.001,128,25,0.14401863515377045,0.14053426682949066
gpt2-small,das3d,0,3,0,64,0.001,128,26,0.14053426682949066,0.12891986966133118
gpt2-small,das3d,0,3,0,64,0.001,128,27,0.12891986966133118,0.11440186202526093
gpt2-small,das3d,0,3,0,64,0.001,128,28,0.11440186202526093,0.10801397264003754
gpt2-small,das3d,0,3,0,64,0.001,128,29,0.10801397264003754,0.10743319988250732
gpt2-small,das3d,0,3,0,64,0.001,128,30,0.10743319988250732,0.09523812681436539
gpt2-small,das3d,0,3,0,64,0.001,128,31,0.09523812681436539,0.0969802662730217
gpt2-small,das3d,0,3,0,64,0.001,128,32,0.0969802662730217,0.08420442044734955
gpt2-small,das3d,0,3,0,64,0.001,128,33,0.08420442044734955,0.08246231824159622
gpt2-small,das3d,0,3,0,64,0.001,128,34,0.08246231824159622,0.07781653106212616
gpt2-small,das3d,0,3,0,64,0.001,128,35,0.07781653106212616,0.07433219254016876
gpt2-small,das3d,0,3,0,64,0.001,128,36,0.07433219254016876,0.07317077368497849
gpt2-small,das3d,0,3,0,64,0.001,128,37,0.07317077368497849,0.06910569220781326
gpt2-small,das3d,0,3,0,64,0.001,128,38,0.06910569220781326,0.06736356019973755
gpt2-small,das3d,0,3,0,64,0.001,128,39,0.06736356019973755,0.0696864053606987
gpt2-small,das3d,0,3,0,64,0.001,128,40,0.0696864053606987,0.060394927859306335
gpt2-small,das3d,0,3,0,64,0.001,128,41,0.060394927859306335,0.0598142147064209
gpt2-small,das3d,0,3,0,64,0.001,128,42,0.0598142147064209,0.05052267014980316
