model,layer,method_a,method_b,absolute_cosine
gpt2-small,12,mean_diff,mean_diff,1.0000002
gpt2-small,12,mean_diff,kmeans,0.3239115
gpt2-small,12,mean_diff,logistic_regression,0.8811518
gpt2-small,12,mean_diff,pca,0.38224247
gpt2-small,12,mean_diff,das,0.026928917
gpt2-small,12,mean_diff,random,0.026446356
gpt2-small,12,kmeans,mean_diff,0.3239115
gpt2-small,12,kmeans,kmeans,1.0
gpt2-small,12,kmeans,logistic_regression,0.16925856
gpt2-small,12,kmeans,pca,0.97785157
gpt2-small,12,kmeans,das,0.0015985556
gpt2-small,12,kmeans,random,0.02172641
gpt2-small,12,logistic_regression,mean_diff,0.8811518
gpt2-small,12,logistic_regression,kmeans,0.16925856
gpt2-small,12,logistic_regression,logistic_regression,0.9999999
gpt2-small,12,logistic_regression,pca,0.19856708
gpt2-small,12,logistic_regression,das,0.026052348
gpt2-small,12,logistic_regression,random,0.015028385
gpt2-small,12,pca,mean_diff,0.38224247
gpt2-small,12,pca,kmeans,0.97785157
gpt2-small,12,pca,logistic_regression,0.19856708
gpt2-small,12,pca,pca,1.0000001
gpt2-small,12,pca,das,0.0053027514
gpt2-small,12,pca,random,0.019142566
gpt2-small,12,das,mean_diff,0.026928917
gpt2-small,12,das,kmeans,0.0015985556
gpt2-small,12,das,logistic_regression,0.026052348
gpt2-small,12,das,pca,0.0053027514
gpt2-small,12,das,das,1.0000002
gpt2-small,12,das,random,0.037162967
gpt2-small,12,random,mean_diff,0.026446356
gpt2-small,12,random,kmeans,0.02172641
gpt2-small,12,random,logistic_regression,0.015028385
gpt2-small,12,random,pca,0.019142566
gpt2-small,12,random,das,0.037162967
gpt2-small,12,random,random,1.0000001
