model,layer,method_a,method_b,absolute_cosine
qwen-0.6b,14,random,kmeans,0.008071663
qwen-0.6b,14,random,logistic_regression,0.007385702
qwen-0.6b,14,random,pca,0.009787493
qwen-0.6b,14,random,das,0.018405365
qwen-0.6b,14,random,random,1.0000002
qwen-0.6b,15,mean_diff,mean_diff,0.9999998
qwen-0.6b,15,mean_diff,kmeans,0.9842812
qwen-0.6b,15,mean_diff,logistic_regression,0.9345851
qwen-0.6b,15,mean_diff,pca,0.94259626
qwen-0.6b,15,mean_diff,das,0.8144234
qwen-0.6b,15,mean_diff,random,7.3001254e-05
qwen-0.6b,15,kmeans,mean_diff,0.9842812
qwen-0.6b,15,kmeans,kmeans,0.9999997
